City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,26.85,81,49,6.79,PF,2023-04-03
1,sidi ali,36.0998,0.4206,12.28,50,0,2.26,DZ,2023-04-03
2,constitucion,-35.3333,-72.4167,13.71,62,23,3.95,CL,2023-04-03
3,narsaq,60.9167,-46.05,7.12,73,100,2.8,GL,2023-04-03
4,cidreira,-30.1811,-50.2056,20.18,76,7,5.8,BR,2023-04-03
5,santa maria,-29.6842,-53.8069,12.71,89,10,2.24,BR,2023-04-03
6,jamestown,42.097,-79.2353,4.77,57,40,2.57,US,2023-04-03
7,hermanus,-34.4187,19.2345,18.22,84,1,4.0,ZA,2023-04-03
8,chokurdakh,70.6333,147.9167,-15.28,87,100,5.53,RU,2023-04-03
9,stephenville,32.2207,-98.2023,19.76,97,0,1.54,US,2023-04-03
10,qaanaaq,77.484,-69.3632,-27.62,70,0,2.88,GL,2023-04-03
11,kapoeta,4.7717,33.5903,31.99,35,44,5.44,SS,2023-04-03
12,hobart,-42.8794,147.3294,18.48,62,0,3.6,AU,2023-04-03
13,arraial do cabo,-22.9661,-42.0278,24.32,70,100,3.8,BR,2023-04-03
14,hithadhoo,-0.6,73.0833,28.23,68,5,2.86,MV,2023-04-03
15,ushuaia,-54.8,-68.3,11.81,50,0,9.77,AR,2023-04-03
16,georgetown,5.4112,100.3354,28.96,74,20,1.54,MY,2023-04-03
17,quelimane,-17.8786,36.8883,26.14,72,100,1.89,MZ,2023-04-03
18,avarua,-21.2078,-159.775,26.03,65,75,4.12,CK,2023-04-03
19,ilulissat,69.2167,-51.1,-20.99,84,63,2.06,GL,2023-04-03
20,bambous virieux,-20.3428,57.7575,29.56,74,40,5.66,MU,2023-04-03
21,pisco,-13.7,-76.2167,23.03,88,99,0.51,PE,2023-04-03
22,vila franca do campo,37.7167,-25.4333,13.23,68,99,4.26,PT,2023-04-03
23,key largo,25.0865,-80.4473,24.99,74,17,2.69,US,2023-04-03
24,victoria,22.2855,114.1577,25.67,91,94,0.45,HK,2023-04-03
25,yellowknife,62.456,-114.3525,-19.91,100,96,1.99,CA,2023-04-03
26,chuy,-33.6971,-53.4616,16.27,85,100,2.07,UY,2023-04-03
27,san patricio,28.017,-97.5169,24.94,89,98,4.71,US,2023-04-03
28,shelburne,44.0787,-80.2041,0.89,54,100,5.72,CA,2023-04-03
29,cherskiy,68.75,161.3,-23.23,89,22,2.39,RU,2023-04-03
30,airai,-8.9266,125.4092,20.62,79,100,0.43,TL,2023-04-03
31,matara,5.9485,80.5353,29.53,67,17,3.0,LK,2023-04-03
32,klaksvik,62.2266,-6.589,6.51,87,100,8.57,FO,2023-04-03
33,mahebourg,-20.4081,57.7,29.58,74,40,5.66,MU,2023-04-03
34,saint-philippe,-21.3585,55.7679,27.77,73,78,3.48,RE,2023-04-03
35,umm lajj,25.0213,37.2685,27.79,27,0,2.47,SA,2023-04-03
36,busselton,-33.65,115.3333,24.54,48,2,5.61,AU,2023-04-03
37,punta arenas,-53.15,-70.9167,9.06,61,75,5.14,CL,2023-04-03
38,vaini,-21.2,-175.2,23.09,88,20,1.54,TO,2023-04-03
39,castro,-24.7911,-50.0119,12.44,97,72,3.26,BR,2023-04-03
40,bluff,-46.6,168.3333,14.89,72,100,2.53,NZ,2023-04-03
41,cayenne,4.9333,-52.3333,23.02,94,40,0.0,GF,2023-04-03
42,krasne,49.9145,24.6134,1.25,98,100,5.31,UA,2023-04-03
43,cape town,-33.9258,18.4232,19.65,84,75,2.06,ZA,2023-04-03
44,fort william,56.8165,-5.1121,5.17,80,76,1.8,GB,2023-04-03
45,new norfolk,-42.7826,147.0587,18.29,55,100,0.45,AU,2023-04-03
46,atuona,-9.8,-139.0333,27.45,78,100,6.46,PF,2023-04-03
47,rach gia,10.0167,105.0833,31.0,58,36,5.81,VN,2023-04-03
48,namatanai,-3.6667,152.4333,28.45,74,99,2.78,PG,2023-04-03
49,saint george,37.1041,-113.5841,16.25,30,0,4.12,US,2023-04-03
50,port elizabeth,-33.918,25.5701,22.4,81,20,13.38,ZA,2023-04-03
51,lagoa,39.05,-27.9833,14.01,63,55,7.25,PT,2023-04-03
52,carnarvon,-24.8667,113.6333,25.98,68,48,5.51,AU,2023-04-03
53,bathsheba,13.2167,-59.5167,25.34,78,40,6.69,BB,2023-04-03
54,puerto ayora,-0.7393,-90.3518,24.75,94,14,1.62,EC,2023-04-03
55,taguatinga,-12.3857,-46.5711,21.1,94,96,0.61,BR,2023-04-03
56,mittagong,-34.45,150.45,18.89,89,65,2.87,AU,2023-04-03
57,adrar,20.5022,-10.0711,21.74,7,0,2.54,MR,2023-04-03
58,provideniya,64.3833,-173.3,-13.85,98,100,1.26,RU,2023-04-03
59,ngunguru,-35.6167,174.5,16.45,60,0,4.82,NZ,2023-04-03
60,santa cruz del sur,20.7147,-77.9956,21.9,85,6,5.14,CU,2023-04-03
61,ribeira grande,38.5167,-28.7,12.22,71,40,3.09,PT,2023-04-03
62,yeppoon,-23.1333,150.7333,26.88,77,52,5.71,AU,2023-04-03
63,port lincoln,-34.7333,135.8667,19.94,54,0,4.42,AU,2023-04-03
64,paita,-5.0892,-81.1144,25.84,84,100,3.05,PE,2023-04-03
65,tiksi,71.6872,128.8694,-6.92,83,100,10.57,RU,2023-04-03
66,saskylakh,71.9167,114.0833,-7.35,94,100,2.52,RU,2023-04-03
67,bayanday,53.0661,105.5139,-5.58,47,100,5.09,RU,2023-04-03
68,kapaa,22.0752,-159.319,23.18,89,75,0.0,US,2023-04-03
69,tautira,-17.7333,-149.15,27.19,77,95,2.51,PF,2023-04-03
70,vila velha,-20.3297,-40.2925,24.97,77,20,3.6,BR,2023-04-03
71,aykhal,66.0,111.5,-2.94,85,100,9.24,RU,2023-04-03
72,butaritari,3.0707,172.7902,27.98,78,66,5.65,KI,2023-04-03
73,marawi,7.9986,124.2928,23.56,88,100,2.52,PH,2023-04-03
74,nanga eboko,4.6833,12.3667,25.41,71,99,0.9,CM,2023-04-03
75,alofi,-19.0595,-169.9187,24.94,94,75,4.12,NU,2023-04-03
76,agadez,19.75,10.25,23.82,6,100,2.09,NE,2023-04-03
